TOA5,CR1000_BigSky_WFork,CR1000,25170,CR1000.Std.16,CPU:WestFork_stage_cond_temp_60sec.CR1,56826,WF
TIMESTAMP,RECORD,Batt_Volt_Avg,AirTemp_Avg,H20Dist_Avg,H20Cond_Avg,H20Temp_Avg,Ct_Avg,Stage_Avg,AirTemp_SMP,H20Dist_SMP,Stage_SMP,H20Cond_SMP,Ct_SMP,H20Temp_SMP
TS,RN,Volts,Deg C,meters,mS/cm,Deg C,mS/cm,meters,Deg C,meters,meters,mS/cm,mS/cm,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp
2011-08-18 12:30:00,31147,13.85,22.96002,1.780624,0.2662869,11.59218,0.177027,0.3193756,24.36182,1.786715,0.3132849,0.264697,0.1780101,11.90021
2011-08-18 13:00:00,31148,13.82,24.44457,1.781933,0.263988,12.17532,0.1793452,0.3180667,24.92123,1.782126,0.3178737,0.2632385,0.1810576,12.51233
2011-08-18 13:30:00,31149,13.77,24.13489,1.780289,0.261888,12.81723,0.1821237,0.3197104,24.71072,1.778364,0.3216358,0.2613603,0.1835239,13.08749
2011-08-18 14:00:00,31150,13.8,25.19999,1.781043,0.2603774,13.34695,0.1845207,0.3189569,25.40976,1.783586,0.3164139,0.2593316,0.1851732,13.56161
2011-08-18 14:30:00,31151,13.81,24.51733,1.781491,0.2589488,13.76744,0.1862319,0.3185087,24.65881,1.780298,0.3197024,0.2585185,0.186716,13.89017
2011-08-18 15:00:00,31152,13.84,25.37893,1.781504,0.2584082,14.08597,0.1878998,0.3184955,25.4776,1.782743,0.3172568,0.2577485,0.189321,14.38074
2011-08-18 15:30:00,31153,13.85,24.79235,1.781461,0.2579714,14.48309,0.1901449,0.3185386,24.57919,1.780059,0.3199406,0.2576208,0.1907469,14.6167
2011-08-18 16:00:00,31154,13.89,24.61495,1.781938,0.2591195,14.67498,0.1922346,0.318062,25.04593,1.780409,0.3195908,0.2596493,0.1933666,14.78888
2011-08-18 16:30:00,31155,13.87,26.09771,1.785621,0.2601512,14.85591,0.1941763,0.3143786,26.83081,1.79097,0.3090303,0.2609871,0.1952776,14.92908
2011-08-18 17:00:00,31156,13.81,26.49719,1.786184,0.260318,15.02719,0.195415,0.313816,25.77719,1.783637,0.3163627,0.2605168,0.1956362,15.03818
2011-08-18 17:30:00,31157,13.8,25.50677,1.785582,0.2605689,15.11949,0.196205,0.3144177,24.99231,1.783383,0.3166164,0.260187,0.1962348,15.16827
2011-08-18 18:00:00,31158,13.85,24.94719,1.786416,0.2614386,15.10728,0.1967799,0.3135839,25.19379,1.780851,0.3191494,0.2612641,0.1964743,15.08057
2011-08-18 18:30:00,31159,13.86,26.27717,1.789036,0.262482,14.99799,0.1968478,0.310964,26.21719,1.789137,0.310863,0.2635117,0.1969536,14.89676
2011-08-18 19:00:00,31160,13.83,25.82794,1.787502,0.2635553,14.78467,0.1962468,0.3124983,25.04593,1.788768,0.311232,0.2640368,0.1959946,14.69202
2011-08-18 19:30:00,31161,13.83,24.44781,1.789701,0.2650175,14.5477,0.1957659,0.3102988,23.59717,1.78546,0.3145401,0.2654703,0.1952776,14.42365
2011-08-18 20:00:00,31162,13.84,20.77418,1.788323,0.266711,14.35124,0.1957062,0.3116771,18.95416,1.78488,0.3151197,0.2681673,0.1957561,14.1991
2011-08-18 20:30:00,31163,13.25,18.34807,1.785643,0.2686008,14.08058,0.1952756,0.3143569,17.74567,1.78428,0.3157198,0.2691478,0.1946798,13.93277
2011-08-18 21:00:00,31164,13.12,16.57169,1.786442,0.2702689,13.76611,0.1943633,0.3135578,15.7912,1.786504,0.3134961,0.2713398,0.1939633,13.59341
2011-08-18 21:30:00,31165,13.09,15.54765,1.785407,0.2717487,13.46471,0.1933806,0.3145927,14.86554,1.784667,0.3153331,0.2720149,0.1926512,13.3295
2011-08-18 22:00:00,31166,13.06,14.10982,1.784836,0.2727977,13.15608,0.1920219,0.3151642,13.81525,1.78551,0.3144902,0.2733772,0.1914604,13.0141
